Order_ID,Order_Date,Order_DateTime,Customer_ID,Restaurant_ID,City,Zone,Qty,Subtotal,Discount,Delivery_Fee,Order_Value,Payment_Method,Order_Channel,Order_Status,Delivery_Partner,Rider_ID,Distance_KM,Promised_Minutes,Delivery_Minutes,On_Time_Delivery,Customer_Rating,Cancellation_Reason
ORD01828,2026-04-22,2026-04-22 14:19:00,C0400,Restaurant_03,Chandigarh,Sector 17,1,280,0.0,20,300,Cash,Restaurant App,Cancelled,Not Assigned,Not Assigned,3.9,45,,,,Customer Cancelled
ORD03512,2026-04-11,2026-04-11 12:30:00,C0247,Restaurant_18,Panchkula,Sector 8,2,700,0.0,60,760,UPI,Website,Delivered,Ola Logistics,RD092,3.4,35,18.0,True,5.0,
ORD03471,2026-05-26,2026-05-26 09:30:00,C0957,Restaurant_02,Chandigarh,Manimajra,3,1200,0.0,20,1220,Cash,Website,Cancelled,Not Assigned,Not Assigned,2.1,35,,,,Address Issue
ORD02979,2026-03-24,2026-03-24 20:21:00,C0192,Restaurant_05,Panchkula,Sector 15,3,960,20.0,60,1000,Credit Card,Website,Failed,Not Assigned,Not Assigned,3.2,30,,,,Rider Unavailable
ORD01107,2026-02-16,2026-02-16 18:40:00,C1182,Restaurant_09,Mohali,Phase 7,2,800,0.0,30,830,Wallet,Restaurant App,Delivered,Shadowfax,RD147,4.1,30,26.0,True,3.0,
ORD03675,2026-05-19,2026-05-19 20:00:00,C0276,Restaurant_04,Mohali,Phase 5,2,240,30.0,50,260,UPI,Restaurant App,Delivered,In-house Rider,RD042,4.4,35,27.0,True,4.0,
ORD02130,2026-05-19,2026-05-19 20:48:00,C0747,Restaurant_18,Panchkula,Sector 11,1,400,0.0,30,430,Cash,Website,Delivered,Shiprocket,RD118,5.4,30,27.0,True,5.0,
ORD01414,2026-06-13,2026-06-13 19:58:00,C0112,Restaurant_20,Panchkula,Sector 11,3,660,0.0,20,680,UPI,Website,Delivered,Shiprocket,RD065,7.3,45,35.0,True,4.0,
ORD00337,2026-02-04,2026-02-04 20:11:00,C0380,Restaurant_09,Mohali,Sector 68,3,450,0.0,30,480,Debit Card,Restaurant App,Delivered,In-house Rider,RD052,7.9,40,39.0,True,4.0,
ORD00951,2026-06-28,2026-06-28 18:35:00,C0355,Restaurant_16,Panchkula,Sector 15,3,540,0.0,60,600,UPI,Restaurant App,Delivered,In-house Rider,RD080,2.6,50,22.0,True,3.0,
ORD01548,2026-02-09,2026-02-09 17:21:00,C0097,Restaurant_02,Mohali,Phase 3B2,4,880,20.0,60,920,UPI,Restaurant App,Delivered,In-house Rider,RD121,3.7,30,27.0,True,5.0,
ORD03719,2026-06-10,2026-06-10 17:11:00,C0738,Restaurant_15,Chandigarh,Sector 17,2,300,30.0,40,310,Credit Card,Website,Cancelled,Not Assigned,Not Assigned,0.7,30,,,,Rider Unavailable
ORD00053,2026-02-10,2026-02-10 16:10:00,C0885,Restaurant_23,Chandigarh,Sector 35,1,250,0.0,60,310,UPI,Website,Delivered,In-house Rider,RD104,3.4,35,17.0,True,5.0,
ORD03008,2026-02-20,2026-02-20 10:25:00,C0467,Restaurant_19,Chandigarh,Sector 35,1,220,50.0,40,210,Wallet,Restaurant App,Failed,Not Assigned,Not Assigned,7.5,35,,,,Restaurant Delay
ORD02488,2026-04-12,2026-04-12 12:52:00,C0640,Restaurant_10,Panchkula,Sector 11,3,960,20.0,25,965,UPI,Website,Delivered,In-house Rider,RD018,6.3,35,43.0,False,5.0,
ORD03498,2026-01-10,2026-01-10 19:02:00,C0636,Restaurant_22,Mohali,Phase 3B2,1,150,20.0,20,150,UPI,Website,Delivered,Shadowfax,RD114,9.2,40,43.0,False,5.0,
ORD01713,2026-05-07,2026-05-07 16:50:00,C0990,Restaurant_12,Panchkula,Sector 11,2,700,30.0,40,710,Credit Card,Restaurant App,Delivered,In-house Rider,RD139,2.0,30,11.0,True,4.0,
ORD00545,2026-02-02,2026-02-02 16:51:00,C0108,Restaurant_25,Mohali,Phase 5,5,2000,30.0,40,2010,Wallet,Restaurant App,Cancelled,Not Assigned,Not Assigned,3.0,30,,,,Address Issue
ORD00020,2026-04-14,2026-04-14 00:00:00,C0381,Restaurant_10,Panchkula,Sector 11,1,120,20.0,60,160,UPI,Website,Cancelled,Not Assigned,Not Assigned,7.1,45,,,,Rider Unavailable
ORD01391,2026-02-27,2026-02-27 16:36:00,C0832,Restaurant_10,Panchkula,Sector 8,3,360,75.0,60,345,Cash,Restaurant App,Delivered,Ola Logistics,RD055,7.8,45,42.0,True,5.0,
ORD00563,2026-04-10,2026-04-10 18:58:00,C0748,Restaurant_11,Mohali,Phase 7,4,480,0.0,40,520,UPI,Restaurant App,Delivered,In-house Rider,RD150,5.2,30,32.0,False,5.0,
ORD02569,2026-06-08,2026-06-08 13:13:00,C0189,Restaurant_20,Mohali,Phase 7,1,350,0.0,30,380,Debit Card,Restaurant App,Delivered,Shadowfax,RD125,3.1,30,26.0,True,5.0,
ORD01534,2026-06-11,2026-06-11 13:23:00,C0845,Restaurant_07,Panchkula,Sector 15,3,960,100.0,60,920,UPI,Restaurant App,Cancelled,Not Assigned,Not Assigned,1.7,45,,,,Rider Unavailable
ORD00888,2026-04-27,2026-04-27 20:37:00,C0462,Restaurant_08,Panchkula,Sector 5,3,960,30.0,40,970,Cash,Website,Delivered,Ola Logistics,RD024,3.9,50,31.0,True,5.0,
ORD03965,2026-01-19,2026-01-19 00:02:00,C0980,Restaurant_24,Mohali,Sector 68,4,880,0.0,30,910,Cash,Website,Failed,Not Assigned,Not Assigned,3.1,40,,,,Rider Unavailable
ORD02415,2026-04-23,2026-04-23 01:52:00,C0630,Restaurant_13,Panchkula,Sector 5,4,1120,0.0,40,1160,Credit Card,Website,Delivered,In-house Rider,RD141,8.9,45,45.0,True,5.0,
ORD03243,2026-01-27,2026-01-27 00:15:00,C0490,Restaurant_08,Panchkula,Sector 5,4,720,50.0,60,730,Cash,Website,Delivered,In-house Rider,RD019,7.9,30,43.0,False,4.0,
ORD03870,2026-04-24,2026-04-24 10:44:00,C0960,Restaurant_11,Chandigarh,Sector 35,5,1100,100.0,60,1060,UPI,Restaurant App,Delivered,In-house Rider,RD112,5.1,35,33.0,True,5.0,
ORD00232,2026-04-03,2026-04-03 16:28:00,C1058,Restaurant_01,Mohali,Phase 5,3,1200,30.0,50,1220,Debit Card,Restaurant App,Delivered,In-house Rider,RD123,3.9,50,18.0,True,5.0,
ORD02573,2026-03-10,2026-03-10 22:25:00,C0361,Restaurant_08,Panchkula,Sector 15,3,840,75.0,40,805,Credit Card,Website,Delivered,Shiprocket,RD073,8.1,40,39.0,True,5.0,
ORD01925,2026-03-14,2026-03-14 08:44:00,C0322,Restaurant_14,Chandigarh,Manimajra,1,320,100.0,30,250,UPI,Restaurant App,Delivered,Shadowfax,RD047,6.0,40,23.0,True,5.0,
ORD01566,2026-02-15,2026-02-15 12:33:00,C1003,Restaurant_14,Chandigarh,Manimajra,5,1750,0.0,20,1770,UPI,Restaurant App,Delivered,In-house Rider,RD095,6.8,45,40.0,True,4.0,
ORD01700,2026-03-11,2026-03-11 03:34:00,C1112,Restaurant_23,Mohali,Sector 68,2,640,50.0,20,610,Cash,Restaurant App,Delivered,Ola Logistics,RD076,7.4,30,32.0,False,5.0,
ORD02852,2026-05-17,2026-05-17 06:58:00,C0163,Restaurant_21,Mohali,Sector 68,1,180,0.0,50,230,Debit Card,Restaurant App,Delivered,In-house Rider,RD005,9.8,50,50.0,True,4.0,
ORD03242,2026-04-27,2026-04-27 18:47:00,C1053,Restaurant_18,Chandigarh,Manimajra,1,400,30.0,60,430,Cash,Restaurant App,Cancelled,Not Assigned,Not Assigned,3.8,40,,,,Restaurant Delay
ORD03753,2026-02-14,2026-02-14 14:29:00,C0911,Restaurant_06,Mohali,Phase 7,2,300,50.0,50,300,Credit Card,Website,Cancelled,Not Assigned,Not Assigned,6.5,50,,,,Address Issue
ORD03344,2026-05-05,2026-05-05 11:42:00,C0388,Restaurant_15,Mohali,Phase 5,2,700,0.0,30,730,Wallet,Website,Delivered,Shiprocket,RD011,4.9,50,24.0,True,3.0,
ORD02284,2026-04-14,2026-04-14 11:47:00,C0455,Restaurant_23,Panchkula,Sector 11,3,1200,20.0,60,1240,Cash,Restaurant App,Failed,Not Assigned,Not Assigned,3.9,40,,,,Restaurant Delay
ORD03338,2026-03-09,2026-03-09 08:02:00,C0325,Restaurant_14,Mohali,Phase 5,3,1050,0.0,25,1075,Wallet,Restaurant App,Delivered,In-house Rider,RD067,7.0,45,37.0,True,5.0,
ORD03972,2026-01-25,2026-01-25 02:07:00,C0124,Restaurant_07,Panchkula,Sector 8,1,180,0.0,40,220,UPI,Restaurant App,Delivered,Shadowfax,RD104,5.9,30,29.0,True,4.0,
ORD03584,2026-04-04,2026-04-04 03:13:00,C0499,Restaurant_19,Chandigarh,Sector 22,4,720,75.0,40,685,Cash,Website,Cancelled,Not Assigned,Not Assigned,7.8,35,,,,Payment Failed
ORD02607,2026-05-07,2026-05-07 21:28:00,C0753,Restaurant_24,Panchkula,Sector 8,2,800,0.0,60,860,UPI,Website,Delivered,Shadowfax,RD131,4.8,40,21.0,True,3.0,
ORD03113,2026-02-02,2026-02-02 12:24:00,C0531,Restaurant_11,Chandigarh,Sector 22,5,600,20.0,30,610,Wallet,Website,Delivered,In-house Rider,RD036,2.5,50,26.0,True,5.0,
ORD01633,2026-05-05,2026-05-05 05:42:00,C0425,Restaurant_22,Mohali,Phase 3B2,1,350,100.0,60,310,Cash,Restaurant App,Delivered,In-house Rider,RD134,3.9,30,31.0,False,5.0,
ORD02432,2026-01-01,2026-01-01 09:35:00,C0359,Restaurant_20,Chandigarh,Sector 17,4,600,50.0,60,610,UPI,Website,Delivered,Shiprocket,RD116,10.5,40,45.0,False,4.0,
ORD02210,2026-04-20,2026-04-20 09:54:00,C0379,Restaurant_25,Panchkula,Sector 11,1,250,100.0,50,200,UPI,Website,Delivered,In-house Rider,RD133,5.3,50,26.0,True,5.0,
ORD00995,2026-02-28,2026-02-28 11:03:00,C0272,Restaurant_06,Chandigarh,Sector 35,3,540,30.0,40,550,Cash,Website,Failed,Not Assigned,Not Assigned,4.9,40,,,,Customer Cancelled
ORD03921,2026-01-12,2026-01-12 19:04:00,C1041,Restaurant_24,Chandigarh,Sector 35,1,280,20.0,60,320,Cash,Website,Delivered,Shadowfax,RD015,5.1,30,29.0,True,5.0,
ORD03285,2026-02-28,2026-02-28 15:23:00,C0082,Restaurant_11,Chandigarh,Sector 17,5,1100,75.0,25,1050,Cash,Restaurant App,Delivered,Ola Logistics,RD093,5.6,30,31.0,False,4.0,
ORD02848,2026-04-06,2026-04-06 10:32:00,C0696,Restaurant_20,Chandigarh,Sector 17,3,1050,75.0,20,995,Credit Card,Restaurant App,Delivered,Ola Logistics,RD120,2.2,45,19.0,True,5.0,
ORD02716,2026-02-01,2026-02-01 19:39:00,C0879,Restaurant_03,Chandigarh,Manimajra,5,600,75.0,30,555,Credit Card,Restaurant App,Delivered,Shiprocket,RD070,7.6,50,46.0,True,1.0,
ORD01870,2026-05-29,2026-05-29 16:12:00,C0310,Restaurant_08,Chandigarh,Sector 34,1,250,100.0,60,210,Debit Card,Restaurant App,Delivered,In-house Rider,RD059,4.6,35,31.0,True,3.0,
ORD03463,2026-06-28,2026-06-28 22:09:00,C1151,Restaurant_19,Mohali,Sector 68,5,1250,20.0,25,1255,Debit Card,Website,Delivered,Shadowfax,RD139,10.1,40,55.0,False,4.0,
ORD01324,2026-02-02,2026-02-02 08:38:00,C0569,Restaurant_22,Panchkula,Sector 11,4,880,20.0,25,885,Wallet,Restaurant App,Delivered,In-house Rider,RD037,6.7,30,31.0,False,5.0,
ORD02384,2026-02-19,2026-02-19 09:30:00,C0166,Restaurant_04,Chandigarh,Sector 34,4,880,,20,900,Credit Card,Restaurant App,Delivered,In-house Rider,RD144,,50,52.0,False,,
ORD01181,2026-01-27,2026-01-27 15:21:00,C0430,Restaurant_05,Mohali,Phase 3B2,4,600,0.0,40,640,Debit Card,Restaurant App,Cancelled,Not Assigned,Not Assigned,2.1,45,,,,Payment Failed
ORD03864,2026-02-12,2026-02-12 18:16:00,C0122,Restaurant_12,Mohali,Phase 3B2,3,1050,0.0,50,1100,UPI,Restaurant App,Delivered,Shadowfax,RD076,1.8,35,24.0,True,4.0,
ORD02801,2026-01-20,2026-01-20 04:28:00,C1116,Restaurant_02,Chandigarh,Manimajra,4,1600,30.0,20,1590,UPI,Website,Delivered,In-house Rider,RD044,6.9,35,45.0,False,4.0,
ORD00402,2026-06-18,2026-06-18 02:12:00,C0204,Restaurant_16,Panchkula,Sector 11,3,1050,0.0,40,1090,Credit Card,Website,Delivered,In-house Rider,RD066,4.5,30,19.0,True,5.0,
ORD01011,2026-05-29,2026-05-29 13:41:00,C0468,Restaurant_03,Mohali,Phase 7,4,1600,0.0,20,1620,Credit Card,Website,Delivered,In-house Rider,RD131,6.4,40,31.0,True,5.0,
ORD03843,2026-04-24,2026-04-24 23:46:00,C1079,Restaurant_01,Mohali,Phase 5,1,400,100.0,30,330,Wallet,Website,Failed,Not Assigned,Not Assigned,7.7,30,,,,Rider Unavailable
ORD01376,2026-02-02,2026-02-02 15:06:00,C0609,Restaurant_21,Mohali,Phase 3B2,4,880,0.0,30,910,UPI,Website,Delivered,Shadowfax,RD097,4.6,40,30.0,True,5.0,
ORD03415,2026-03-20,2026-03-20 06:19:00,C0602,Restaurant_18,Chandigarh,Sector 35,2,300,75.0,30,255,Cash,Restaurant App,Delivered,Shiprocket,RD005,1.2,35,14.0,True,4.0,
ORD00656,2026-04-20,2026-04-20 05:43:00,C0121,Restaurant_08,Chandigarh,Sector 17,4,600,0.0,30,630,UPI,Restaurant App,Delivered,In-house Rider,RD084,4.1,30,14.0,True,4.0,
ORD02919,2026-04-05,2026-04-05 23:44:00,C0099,Restaurant_19,Chandigarh,Manimajra,4,1120,75.0,40,1085,Wallet,Website,Delivered,In-house Rider,RD061,2.0,50,20.0,True,4.0,
ORD02788,2026-04-13,2026-04-13 21:30:00,C0352,Restaurant_25,Mohali,Phase 3B2,4,600,0.0,50,650,Debit Card,Website,Delivered,Shiprocket,RD125,7.3,40,46.0,False,4.0,
ORD01435,2026-05-29,2026-05-29 13:37:00,C0951,Restaurant_17,Chandigarh,Sector 22,2,640,0.0,60,700,Credit Card,Website,Delivered,In-house Rider,RD134,5.3,45,30.0,True,5.0,
ORD00582,2026-02-20,2026-02-20 02:10:00,C0885,Restaurant_24,Mohali,Sector 68,3,360,20.0,40,380,UPI,Restaurant App,Delivered,In-house Rider,RD102,5.7,30,35.0,False,4.0,
ORD02411,2026-04-15,2026-04-15 21:43:00,C0431,Restaurant_23,Panchkula,Sector 11,3,660,100.0,30,590,Debit Card,Restaurant App,Delivered,In-house Rider,RD148,5.2,40,26.0,True,4.0,
ORD00617,2026-02-07,2026-02-07 22:03:00,C0234,Restaurant_18,Chandigarh,Sector 22,2,640,0.0,20,660,UPI,Restaurant App,Delivered,In-house Rider,RD118,3.5,30,27.0,True,3.0,
ORD03638,2026-06-17,2026-06-17 11:41:00,C0429,Restaurant_10,Panchkula,Sector 15,4,480,0.0,20,500,Debit Card,Restaurant App,Delivered,In-house Rider,RD079,6.3,30,16.0,True,3.0,
ORD03481,2026-02-17,2026-02-17 09:48:00,C0815,Restaurant_09,Mohali,Phase 5,1,180,75.0,60,165,UPI,Restaurant App,Delivered,In-house Rider,RD042,5.3,40,22.0,True,5.0,
ORD00898,2026-01-26,2026-01-26 08:08:00,C0017,Restaurant_17,Mohali,Phase 5,4,480,0.0,60,540,Debit Card,Restaurant App,Delivered,Ola Logistics,RD092,5.5,35,40.0,False,5.0,
ORD03499,2026-03-24,2026-03-24 08:11:00,C0291,Restaurant_13,Chandigarh,Sector 34,3,1200,100.0,50,1150,UPI,Restaurant App,Delivered,In-house Rider,RD056,4.3,45,29.0,True,5.0,
ORD02936,2026-04-14,2026-04-14 06:23:00,C0861,Restaurant_08,Chandigarh,Sector 35,3,840,30.0,60,870,UPI,Restaurant App,Delivered,In-house Rider,RD030,9.8,50,43.0,True,4.0,
ORD01348,2026-03-17,2026-03-17 20:22:00,C1116,Restaurant_19,Panchkula,Sector 15,5,1750,100.0,50,1700,UPI,Website,Cancelled,Not Assigned,Not Assigned,4.7,30,,,,Customer Cancelled
ORD01958,2026-05-21,2026-05-21 18:05:00,C0016,Restaurant_22,Mohali,Sector 68,2,700,0.0,50,750,Cash,Restaurant App,Delivered,In-house Rider,RD083,5.5,40,39.0,True,5.0,
ORD01751,2026-01-21,2026-01-21 01:12:00,C0211,Restaurant_04,Chandigarh,Sector 22,4,1120,100.0,50,1070,UPI,Website,Cancelled,Not Assigned,Not Assigned,7.2,40,,,,Payment Failed
ORD01945,2026-01-15,2026-01-15 18:18:00,C0796,Restaurant_06,Mohali,Sector 68,1,280,50.0,25,255,Cash,Restaurant App,Delivered,Shadowfax,RD134,3.9,40,24.0,True,5.0,
ORD01242,2026-05-07,2026-05-07 13:54:00,C0369,Restaurant_08,Panchkula,Sector 15,4,1280,0.0,40,1320,Debit Card,Website,Delivered,In-house Rider,RD103,1.4,30,20.0,True,4.0,
